Name,Platform,Critic_Score,User_Score
Super Mario Galaxy 2,Wii,9.7,9.8
Super Smash Bros. Melee,GC,9.2,
Call of Duty: Black Ops 3,XOne,,
Battlefield 3,X360,8.5,
Yokai Watch 2: Bony Spirits / Fleshy Souls / Psychic Specters,3DS,,
The Legend of Zelda: Twilight Princess,Wii,9.5,9.6
Battlefield 1,PS4,9.1,7.9
Battlefield 3,PS3,8.5,
Need for Speed Underground,PS2,8.6,
The Binding of Isaac,PC,8.3,8.4
FIFA 20,PS4,7.9,1.1
Crash Bandicoot 3: Warped,PS,9.3,
Pokemon Emerald Version,GBA,7.7,
Guild Wars 2,PC,9,8.1
Need for Speed Underground 2,PS2,8.3,
Just Dance 4,Wii,,
Mario Kart: Double Dash!!,GC,8.5,
Medal of Honor: Frontline,PS2,9,
Crash Bandicoot,PS,7.8,
Uncharted 2: Among Thieves,PS3,9.5,9.6
Call of Duty 4: Modern Warfare,PS3,9.5,9.6
FIFA Soccer 12,PS3,9.2,
FIFA 14,PS3,9,
Fallout 4,PC,9,5.5
New Super Mario Bros. U Deluxe,NS,8,6.6
Tomodachi Life,3DS,7.8,7.6
Red Dead Redemption,PS3,9.5,
Donkey Kong Country Returns,Wii,8.6,
The Legend of Zelda,NES,8.4,8.8
Assassin's Creed III,PS3,8.8,
Guild Wars,PC,8.7,
Red Dead Redemption,X360,9.5,10
The Elder Scrolls V: Skyrim,PS3,9,
Final Fantasy XII,PS2,9.4,9.5
Pokemon Crystal Version,GBC,8.7,
Halo 3: ODST,X360,8.7,
Minecraft,PS4,9.4,
Luigi's Mansion 3,NS,8.6,8.5
FIFA 15,PS4,8.1,5.7
Kingdom Hearts,PS2,8.5,
Myst,PC,8.9,8
Street Fighter II: The World Warrior,SNES,,
Driver,PS,8.5,
Call of Duty: WWII,XOne,8,4
Luigi's Mansion: Dark Moon,3DS,8.6,8.5
Big Brain Academy,DS,7.7,
Minecraft,PS3,9.5,
Metal Gear Solid 2: Sons of Liberty,PS2,9.5,7
The Legend of Zelda: Ocarina of Time 3D,3DS,9.3,9
Cities: Skylines,PC,8.5,8.9
Metal Gear Solid,PS,9.3,
Sonic the Hedgehog 2,GEN,,
Metal Gear Solid 4: Guns of the Patriots,PS3,9.3,9.8
Euro Truck Simulator 2,PC,8.5,8.7
Mario Kart: Super Circuit,GBA,9.3,
Super Mario Sunshine,GC,9.2,
Super Mario 3D World,WiiU,9.5,8.9
Age of Empires II: HD Edition,PC,6.8,7.9
New Super Mario Bros. U,WiiU,8.4,8
Link's Crossbow Training,Wii,6.9,
Red Dead Redemption 2,XOne,9.7,7.4
Destiny,PS4,7.6,6.1
Tekken 2,PS,9.1,
Uncharted: The Nathan Drake Collection,PS4,8.6,8.5
Super Mario World: Super Mario Advance 2,GBA,9.4,
LEGO Star Wars: The Complete Saga,Wii,8,
Cooking Mama,DS,6.6,
Tetris,NES,,
Super Mario Advance,GBA,8.2,
Assassin's Creed II,PS3,9,
Super Smash Bros.,N64,8.4,
Assassin's Creed,X360,8.2,8
Batman: Arkham City,PS3,9.6,
Forza Motorsport 3,X360,9.2,9.8
Dragon Quest IX: Sentinels of the Starry Skies,DS,8.6,
Final Fantasy IX,PS,9.2,
Final Fantasy X-2,PS2,8.3,
Sid Meier's Civilization VI,PC,8.8,7
Tomb Raider (2013),PC,8.8,
Super Mario Maker 2,NS,8.8,8.5
Pokemon Stadium,N64,7.5,
Minecraft,XOne,,
Call of Duty: World at War,PS3,8.4,
Super Mario Advance 4: Super Mario Bros. 3,GBA,9.2,
Crash Bandicoot: The Wrath of Cortex,PS2,6.9,
Super Smash Bros. for Wii U,WiiU,9.2,8.9
Final Fantasy XIII,PS3,8,9.2
Gran Turismo 5 Prologue,PS3,8.3,
Dr. Mario,GB,,
Assassin's Creed III,X360,8.5,
Pokemon Pinball,GBC,8.7,
Assassin's Creed II,X360,9.1,
The Forest,PC,8.3,7.3
Donkey Kong 64,N64,9.3,
Just Dance 2,Wii,7.3,
Tomb Raider II,PS,7.6,
Madden NFL 2004,PS2,9.5,
Call of Duty: Advanced Warfare,XOne,8.3,5.5
Fallout: New Vegas,PC,8.3,
Gran Turismo 6,PS3,,
Kingdom Hearts II,PS2,8.3,
Nintendo Land,WiiU,7.8,7.9
Super Mario Land 3: Wario Land,GB,7.9,
Donkey Kong Country 2: Diddy's Kong Quest,SNES,9.3,
Medal of Honor: Rising Sun,PS2,5.9,
Battlefield 1,XOne,9.3,7.6
Kirby's Dream Land,GB,,
Microsoft Flight Simulator,PC,7,
Guitar Hero II,PS2,9.2,
FIFA 13,X360,,
Resident Evil 5,PS3,8.6,8.8
Fable III,X360,7.8,
Mario & Sonic at the Olympic Games,DS,7,
Grand Theft Auto: Vice City Stories,PSP,8.4,
FIFA Soccer 11,PS3,8.7,
Super Mario Bros. Deluxe,GB,9.7,
Final Fantasy XV,PS4,8.1,9.5
Fallout 4,XOne,8.4,6.4
Tony Hawk's Pro Skater,PS,9.6,
Warzone 2100,PS,7.5,
Spyro the Dragon,PS,8.7,
Gears of War,X360,9.4,9.4
Gears of War 2,X360,9.4,9.5
Halo 5: Guardians,XOne,8.6,6.4
Halo: Combat Evolved,XB,9.5,
Guitar Hero III: Legends of Rock,PS2,8.2,
Uncharted: Drake's Fortune,PS3,8.7,8.6
Resident Evil 2,PS,9.3,
Fallout 3,X360,9,8.6
Splatoon,WiiU,8.4,8.7
Madden NFL 06,PS2,9.1,
Stardew Valley,PC,9.2,8.7
Dragon Quest VIII: Journey of the Cursed King,PS2,8.6,
Monster Hunter Freedom 3,PSP,,
Diddy Kong Racing,N64,8.3,
Pokemon Mystery Dungeon: Explorers of Time / Darkness,DS,6.4,
Call of Duty: Black Ops IIII,XOne,,
Dr. Mario,NES,,
Crash Bandicoot N. Sane Trilogy,PS4,8,8.5
Assassin's Creed,PS3,8.2,8.5
Call of Duty: Infinite Warfare,XOne,7.8,3.6
Crash Team Racing,PS,9.2,
LEGO Star Wars: The Complete Saga,DS,7.8,
The Legend of Zelda: Phantom Hourglass,DS,9.1,
Batman: Arkham City,X360,9.5,
Driver 2,PS,7,
The Simpsons: Hit & Run,PS2,7.7,
World of Warcraft: Cataclysm,PC,9,
Tony Hawk's Pro Skater 2,PS,9.3,
Gran Turismo,PSP,7.7,9.5
The Lord of the Rings: The Two Towers,PS2,8.3,
Tomb Raider,PS,8.9,
God of War,PS2,9.3,
The Legend of Zelda: A Link to the Past,SNES,10,
Left 4 Dead,PC,8.6,8.5
Forza Motorsport 4,X360,9.1,
Guitar Hero III: Legends of Rock,Wii,8.6,
Nintendogs + cats,3DS,7.2,
"Pokemon: Let's Go, Pikachu!",NS,8.3,6.1
BioShock Infinite,PC,9.5,8.6
Mario & Luigi: Bowser's Inside Story,DS,9.1,
FIFA 15,PS3,6.9,
Mario & Sonic at the Olympic Winter Games,Wii,6.8,
Overwatch,PS4,8.8,6.4
Madden NFL 2005,PS2,9.5,
Guitar Hero III: Legends of Rock,X360,8.7,
Star Wars Battlefront II (2017),PS4,,
Dead Island,PC,7.1,6.9
Arma 2: Operation Arrowhead,PC,,
ARK: Survival Evolved,PC,7,5.2
